Character,Pinyin,Zhuyin,Definition,ExtendedDefinition
生病,sheng1bing4,ㄕㄥˉㄅㄧㄥˋ,Get ill,get sick; become ill
受傷,shou4 shang1,ㄕㄡˋ ㄕㄤˉ,Injuried,be injured
餓,e4,ㄜˋ,hungry,hungry
渴,ke3,ㄎㄜˇ,thirsty,thirsty
舒服,shu1fu5,ㄕㄨˉㄈㄨ˙,Comfortable,comfortable; feeling well
藥,yao4,ㄧㄠˋ,medicine,medicine; drug; cure; chemical
眼鏡,yan3jing4,ㄧㄢˇㄐㄧㄥˋ,Glasses,glasses; spectacles
痛,tong4,ㄊㄨㄥˋ,pain,to ache; pain; sorrow; agonize
想,xiang3,ㄒㄧㄤˇ,think,think; believe; suppose; would like to; remember with longing; to miss
希望,xi1wang4,ㄒㄧˉㄨㄤˋ,hope,hope; wish for; desire
便宜,pian2yi5,ㄆㄧㄢˊㄧ˙,Cheap,cheap
貴,gui4,ㄍㄨㄟˋ,expensive,expensive; noble; honorable; Guizhou province (abbreviation)
容易,rong2yi4,ㄖㄨㄥˊㄧˋ,easy,easy
難,nan2,ㄋㄢˊ,Disaster,difficult; bad trouble; to blame
要,yao4,ㄧㄠˋ,want,to want; to need; will/shall; important demand; request
好吃,hao3chi1,ㄏㄠˇㄔˉ,good to eat,tasty; tastes good
商店,shang1dian4,ㄕㄤˉㄉㄧㄢˋ,shop,shop; store
店,dian4,ㄉㄧㄢˋ,shop,shop; store; inn
市場,shi4chang3,ㄕˋㄔㄤˇ,market,market
重要,zhong4yao4,ㄓㄨㄥˋㄧㄠˋ,important,important; significant; major
給,gei3,ㄍㄟˇ,Give,to give; to grant; (passive particle) provide
有,you3,ㄧㄡˇ,Have,have; there is
公斤,gong1jin1,ㄍㄨㄥˉㄐㄧㄣˉ,Kilogram,kilogram
顏色,yan2se4,ㄧㄢˊㄙㄜˋ,color,color; countenance; facial expression
黃色,huang2se4,ㄏㄨㄤˊㄙㄜˋ,yellow,yellow (color); decadent; obscene; pornographic; dirty
白色,bai2se4,ㄅㄞˊㄙㄜˋ,White,white
衣服,yi1fu5,ㄧˉㄈㄨ˙,clothing,clothes
襪子,wa4zi5,ㄨㄚˋㄗ˙,sock,socks; stockings
褲子,ku4zi5,ㄎㄨˋㄗ˙,Pants,pants; trousers
裙子,qun2zi5,ㄑㄩㄣˊㄗ˙,skirt,skirt; dress
鞋子,xie2zi5,ㄒㄧㄝˊㄗ˙,shoe,shoes
雙,shuang1,ㄕㄨㄤˉ,pair,two; double; (mw for pairs)
大,da4,ㄉㄚˋ,Big,big; large; great (Kangxi radical 37)
長,chang2,ㄔㄤˊ,long,long; length grow; chief (Kangxi radical 168)
小,xiao3,ㄒㄧㄠˇ,Small,small; young (Kangxi radical 42)
短,duan3,ㄉㄨㄢˇ,short,short (in length duration)
新,xin1,ㄒㄧㄣˉ,new,new
錢,qian2,ㄑㄧㄢˊ,money,money; coin; Chinese Surname
元,yuan2,ㄩㄢˊ,Yuan,Chinese monetary unit; dollar; first; principal
比,bi3,ㄅㄧˇ,Compare,compare; (indicates comparison) (Kangxi radical 81); to gesticulate as one talks
多少,duo1shao5,ㄉㄨㄛˉㄕㄠ˙,How many,how much; how many; somewhat
小心,xiao3xin1,ㄒㄧㄠˇㄒㄧㄣˉ,Be careful,be careful
一樣,yi2yang4,ㄧˊㄧㄤˋ,Same,the same; alike; equal to
牛奶,niu2nai3,ㄋㄧㄡˊㄋㄞˇ,milk,cow's milk
肉,rou4,ㄖㄡˋ,Meat,meat; flesh (Kangxi radical 130)
蛋,dan4,ㄉㄢˋ,Egg,egg
菜,cai4,ㄘㄞˋ,vegetable,dish (type of food); cuisine; vegetables
餃子,jiao3zi5,ㄐㄧㄠˇㄗ˙,dumpling,dumpling
秋天,qiu1tian1,ㄑㄧㄡˉㄊㄧㄢˉ,autumn,autumn; fall
春天,chun1tian1,ㄔㄨㄣˉㄊㄧㄢˉ,spring,spring (season)
大家,da4jia1,ㄉㄚˋㄐㄧㄚˉ,Everyone,everyone; everybody
歲,sui4,ㄙㄨㄟˋ,age,years old; age
年輕,nian2qing1,ㄋㄧㄢˊㄑㄧㄥˉ,young,young
老,lao3,ㄌㄠˇ,old,old; aged; tough; often; always (Kangxi radical 125)
男,nan2,ㄋㄢˊ,male,male
男生,nan2sheng1,ㄋㄢˊㄕㄥˉ,Boy,male student; schoolboy
女,nv3,nvˇ,Female,woman; female (Kangxi radical 38)
女生,nv3sheng1,nvˇㄕㄥˉ,girl,female student; schoolgirl; girl
先生,xian1sheng5,ㄒㄧㄢˉㄕㄥ˙,gentlemen,Mr.; Sir; husband
太太,tai4tai5,ㄊㄞˋㄊㄞ˙,Mrs,wife; title for married woman; Mrs.; Madame
小姐,xiao3jie3,ㄒㄧㄠˇㄐㄧㄝˇ,Miss,young lady; miss
小孩,xiao3hai2,ㄒㄧㄠˇㄏㄞˊ,Child,kid; children
家,jia1,ㄐㄧㄚˉ,Family,family; home; household
家人,jia1ren2,ㄐㄧㄚˉㄖㄣˊ,family,family member; household; (one's) family
爸爸,ba4ba5,ㄅㄚˋㄅㄚ˙,dad,father; dad
媽媽,ma1ma5,ㄇㄚˉㄇㄚ˙,Mother,Mom; mother
孩子,hai2zi5,ㄏㄞˊㄗ˙,child,child; children; son or daughter
兒子,er2zi5,ㄦˊㄗ˙,son,son
女兒,nv3'er2,nvˇ'ㄦˊ,daughter,daughter
弟弟,di4di5,ㄉㄧˋㄉㄧ˙,younger brother,younger brother
哥哥,ge1ge5,ㄍㄜˉㄍㄜ˙,elder brother,older brother
妹妹,mei4mei5,ㄇㄟˋㄇㄟ˙,younger sister,younger sister
姐姐,jie3jie5,ㄐㄧㄝˇㄐㄧㄝ˙,elder sister,older sister
好,hao3,ㄏㄠˇ,it is good,good; well; nice; very; quite be fond of
真,zhen1,ㄓㄣˉ,real,real; true; genuine
很,hen3,ㄏㄣˇ,very,very; rather; quite
太,tai4,ㄊㄞˋ,too,too (much); excessively; highest; greatest
非常,fei1chang2,ㄈㄟˉㄔㄤˊ,Very,extremely; extraordinary; very
笑,xiao4,ㄒㄧㄠˋ,laugh,to laugh; to smile
高興,gao1xing4,ㄍㄠˉㄒㄧㄥˋ,Happy,happy; glad; willing (to do something)
快樂,kuai4le4,ㄎㄨㄞˋㄌㄜˋ,hapiness,happy
緊張,jin3zhang1,ㄐㄧㄣˇㄓㄤˉ,nervous,nervous; strained; stressed out
愛,ai4,ㄞˋ,Love,love; affection; be fond of
喜歡,xi3huan5,ㄒㄧˇㄏㄨㄢ˙,like,to like; be fond of
覺得,jue2de5,ㄐㄩㄝˊㄉㄜ˙,feel,feel; think
漂亮,piao4liang5,ㄆㄧㄠˋㄌㄧㄤ˙,pretty,pretty; beautiful
好看,hao3kan4,ㄏㄠˇㄎㄢˋ,nice,good-looking; nice-looking; attractive; interesting; good (of a movie book  TV show  etc.)
可愛,ke3'ai4,ㄎㄜˇ'ㄞˋ,cute,cute; lovely
胖,pang4,ㄆㄤˋ,fat,fat; plump; healthy; at ease
高,gao1,ㄍㄠˉ,high,high; tall (Kangxi radical 189)
矮,ai3,ㄞˇ,short,short; low
瘦,shou4,ㄕㄡˋ,thin,thin; to lose weight; (of clothing) tight; (of meat) lean; (of land) unproductive
第,di4,ㄉㄧˋ,First,(prefix used to form ordinal numbers)
零,ling2,ㄌㄧㄥˊ,zero,zero
一,yi1,ㄧˉ,one,one; once; a (article) (Kangxi radical 1)
二,er4,ㄦˋ,two,two (Kangxi radical 7)
兩,liang3,ㄌㄧㄤˇ,two,two (cardinal number); both; (unit of weight equal to 50 grams)
三,san1,ㄙㄢˉ,three,three
中間,zhong1jian1,ㄓㄨㄥˉㄐㄧㄢˉ,middle,center; middle; between; among
對面,dui4mian4,ㄉㄨㄟˋㄇㄧㄢˋ,opposite,opposite; across from; the other side
附近,fu4jin4,ㄈㄨˋㄐㄧㄣˋ,nearby,(in the) vicinity; nearby; neighboring
旁邊,pang2bian1,ㄆㄤˊㄅㄧㄢˉ,beside,side; beside; next to
后面,hou4mian5,ㄏㄡˋㄇㄧㄢ˙,Behind,rear; back; behind
前面,qian2mian5,ㄑㄧㄢˊㄇㄧㄢ˙,Front,in front; fore; ahead; preceding
左邊,zuo3bian5,ㄗㄨㄛˇㄅㄧㄢ˙,left,left side
右邊,you4bian5,ㄧㄡˋㄅㄧㄢ˙,right,the right (directional) side
外面,wai4mian5,ㄨㄞˋㄇㄧㄢ˙,Outside,outside
里面,li3mian4,ㄌㄧˇㄇㄧㄢˋ,in,inside; interior
下面,xia4mian5,ㄒㄧㄚˋㄇㄧㄢ˙,under,below; following; next; under
上面,shang4mian5,ㄕㄤˋㄇㄧㄢ˙,above,top; on top of; above-mentioned
這,zhe4,ㄓㄜˋ,This,this; these
那,na4,ㄋㄚˋ,That,that; in that case; then
哪,na3,ㄋㄚˇ,where,which; how
這里,zhe4li3,ㄓㄜˋㄌㄧˇ,here,here
那里,na4li3,ㄋㄚˋㄌㄧˇ,There,there
哪里,na3li3,ㄋㄚˇㄌㄧˇ,where,where;  wherever; how could it be (humble denial of compliment)
怎麼,zen3me5,ㄗㄣˇㄇㄜ˙,how,how; however; what; why
旅行,lv3xing2,lvˇㄒㄧㄥˊ,travel,to travel; a journey
飯店,fan4dian4,ㄈㄢˋㄉㄧㄢˋ,restaurant,restaurant; hotel
旅館,lv3guan3,lvˇㄍㄨㄢˇ,hostel,inn; hotel; hostel
地方,di4fang5,ㄉㄧˋㄈㄤ˙,place,place; space; room; part
參觀,can1guan1,ㄘㄢˉㄍㄨㄢˉ,visit,to visit (a place such as a tourist spot); to tour; inspect
遠,yuan3,ㄩㄢˇ,Far,far; distant; remote
近,jin4,ㄐㄧㄣˋ,close,near; close (to)
快,kuai4,ㄎㄨㄞˋ,quick,fast; quick; soon
慢,man4,ㄇㄢˋ,slow,slow
站,zhan4,ㄓㄢˋ,stand,stand; a station; be on one's feet; service center
坐,zuo4,ㄗㄨㄛˋ,sit,to sit; to travel by; to take
離,li2,ㄌㄧˊ,Leave,leave; depart; go away; part from
往,wang3,ㄨㄤˇ,Past,go (in a direction); toward; in the past
送,song4,ㄙㄨㄥˋ,deliver,to deliver; to carry; to give; to send; to take someone somewhere
地圖,di4tu2,ㄉㄧˋㄊㄨˊ,map,map
過,guo4,ㄍㄨㄛˋ,Pass,to pass; to cross; go over; celebrate; (indicates a past experience)
拿,na2,ㄋㄚˊ,take,carry in your hand; take; get
放,fang4,ㄈㄤˋ,put,put; to place; to release; to free
到,dao4,ㄉㄠˋ,arrive,arrive (at a place); until (a time)
照相機,zhao4xiang4ji1,ㄓㄠˋㄒㄧㄤˋㄐㄧˉ,camera,camera
照相,zhao4 xiang4,ㄓㄠˋ ㄒㄧㄤˋ,Take pictures,to take a photograph
風景,feng1jing3,ㄈㄥˉㄐㄧㄥˇ,landscape,scenery; landscape
眼睛,yan3jing5,ㄧㄢˇㄐㄧㄥ˙,Eye,eye
身體,shen1ti3,ㄕㄣˉㄊㄧˇ,Body,health; (human) body
頭,tou2,ㄊㄡˊ,head,head; the first; leading
頭發,tou2fa5,ㄊㄡˊㄈㄚ˙,hair,hair (on the head)
耳朵,er3duo5,ㄦˇㄉㄨㄛ˙,ear,ear
手,shou3,ㄕㄡˇ,hand,hand (Kangxi radical 64)
手指頭,shou3zhi3tou5,ㄕㄡˇㄓˇㄊㄡ˙,Finger,finger; fingertips
肚子,du4zi5,ㄉㄨˋㄗ˙,abdomen,belly; abdomen; stomach
累,lei4,ㄌㄟˋ,tired,tired accumulate; implicate
唱歌,chang4 ge1,ㄔㄤˋ ㄍㄜˉ,Sing,to sing (a song)
玩,wan2,ㄨㄢˊ,Play,to play; have a good time; visit; enjoy
朋友,peng2you5,ㄆㄥˊㄧㄡ˙,friend,friend
介紹,jie4shao4,ㄐㄧㄝˋㄕㄠˋ,introduce,introduce; recommend; to present
認識,ren4shi5,ㄖㄣˋㄕ˙,know,know; recognize; acquainted with (a person)
謝謝,xie4xie5,ㄒㄧㄝˋㄒㄧㄝ˙,thanks,to thank; thank you
不客气,bu2ke4qi5,ㄅㄨˊㄎㄜˋㄑㄧ˙,You're welcome,you're welcome; don't be polite; impolite
對不起,dui4bu5qi3,ㄉㄨㄟˋㄅㄨ˙ㄑㄧˇ,sorry,sorry
沒關系,mei2 guan1xi5,ㄇㄟˊ ㄍㄨㄢˉㄒㄧ˙,It's ok,"it doesn't matter; never mind; ""that's okay"""
再見,zai4jian4,ㄗㄞˋㄐㄧㄢˋ,goodbye,goodbye; see you later
請問,qing3 wen4,ㄑㄧㄥˇ ㄨㄣˋ,Excuse me,may I ask...
怎麼樣,zen3me5yang4,ㄗㄣˇㄇㄜ˙ㄧㄤˋ,How about it,how?; how about?; how was it?; how are things?
禮物,li3wu4,ㄌㄧˇㄨˋ,Gift,a gift; a present
歡迎,huan1ying2,ㄏㄨㄢˉㄧㄥˊ,welcome,to welcome; greet
晚會,wan3hui4,ㄨㄢˇㄏㄨㄟˋ,Party,evening party; social evening
做,zuo4,ㄗㄨㄛˋ,Do,do; make; to produce; be; to cook; write
信,xin4,ㄒㄧㄣˋ,letter,to believe; to trust; letter
信封,xin4feng1,ㄒㄧㄣˋㄈㄥˉ,envelope,envelope
寄,ji4,ㄐㄧˋ,send,send; to mail; depend on
接,jie1,ㄐㄧㄝˉ,catch,receive; connect; to meet; to pick up (sb.); to answer (the phone)
郵局,you2ju2,ㄧㄡˊㄐㄩˊ,post office,post office
銀行,yin2hang2,ㄧㄣˊㄏㄤˊ,bank,financial bank
警察,jing3cha2,ㄐㄧㄥˇㄔㄚˊ,police,police
壞,huai4,ㄏㄨㄞˋ,Bad,bad; broken; go bad; spoil
幫忙,bang1mang2,ㄅㄤˉㄇㄤˊ,help,to help (with a favour)
換,huan4,ㄏㄨㄢˋ,Change,change; to exchange; to barter; to trade
東西,dong1xi5,ㄉㄨㄥˉㄒㄧ˙,thing,thing; objects; stuff
叫,jiao4,ㄐㄧㄠˋ,Call,to call; to cry; to shout; to name; be called; to greet; to hire; to order
找,zhao3,ㄓㄠˇ,Find,look for; seek; give change
什麼,shen2me5,ㄕㄣˊㄇㄜ˙,what,what; whatever; anything; something
嗎,ma5,ㄇㄚ˙,?,(particle for yes/no questions)
呢,ne5,ㄋㄜ˙,Woolen cloth,(modal particle ending a question); how about...?; what about...?
喂,wei2,ㄨㄟˊ,Hey,
吧,ba5,ㄅㄚ˙,Bar,particle indicating polite suggestion; onomatopoeia
計程車,ji4cheng2che1,ㄐㄧˋㄔㄥˊㄔㄜˉ,taxi,taxi (Taiwan)
地鐵,di4tie3,ㄉㄧˋㄊㄧㄝˇ,subway,subway
車站,che1zhan4,ㄔㄜˉㄓㄢˋ,station,(bus train etc.) stop; station
火車,huo3che1,ㄏㄨㄛˇㄔㄜˉ,train,train
飛機,fei1ji1,ㄈㄟˉㄐㄧˉ,airplane,airplane
飛機場,fei1ji1chang3,ㄈㄟˉㄐㄧˉㄔㄤˇ,AIRPORT,airport
公車,gong1che1,ㄍㄨㄥˉㄔㄜˉ,Bus,bus; public vehicle
車子,che1zi5,ㄔㄜˉㄗ˙,Car,small vehicle (such as a car pushcart bicycle etc.)
開車,kai1che1,ㄎㄞˉㄔㄜˉ,drive,to drive (a vehicle)
帶,dai4,ㄉㄞˋ,bring,to bring; to take along; to carry; look after; raise (children); band; belt; ribbon; zone
去,qu4,ㄑㄩˋ,go,go; go to (a place); send; cause to go; remove; get rid of; depart from
出去,chu1qu4,ㄔㄨˉㄑㄩˋ,go out,go out
進來,jin4lai2,ㄐㄧㄣˋㄌㄞˊ,Come in,come in
回,hui2,ㄏㄨㄟˊ,Return,to return; go back; turn around; to reply; occasion (mw for matters or actions); the Hui nationality
馬路,ma3lu4,ㄇㄚˇㄌㄨˋ,road,street; road
十字路口,shi2zi4 lu4kou3,ㄕˊㄗˋ ㄌㄨˋㄎㄡˇ,crossroads,intersection; crossroads
名字,ming2zi5,ㄇㄧㄥˊㄗ˙,name,a name
姓,xing4,ㄒㄧㄥˋ,surname,surname; family name
姓名,xing4ming2,ㄒㄧㄥˋㄇㄧㄥˊ,Name,full name
生日,sheng1ri4,ㄕㄥˉㄖˋ,Birthday,birthday
來,lai2,ㄌㄞˊ,Come,come; arrive; ever since; next
公園,gong1yuan2,ㄍㄨㄥˉㄩㄢˊ,garden,public park
住,zhu4,ㄓㄨˋ,live,to live; reside; to stop
國家,guo2jia1,ㄍㄨㄛˊㄐㄧㄚˉ,nation,country; state; nation
中國,Zhong1guo2,Zㄏㄨㄥˉㄍㄨㄛˊ,China,China
台灣,Tai2wan1,Tㄞˊㄨㄢˉ,Taiwan,Taiwan (also 台 in informal writing)
美國,Mei3guo2,Mㄟˇㄍㄨㄛˊ,U.S.,United States of America
日本,Ri4ben3,Riˋㄅㄣˇ,Japan,Japan
人,ren2,ㄖㄣˊ,people,person; man; people (Kangxi radical 9)
城市,cheng2shi4,ㄔㄥˊㄕˋ,City,city or town
街,jie1,ㄐㄧㄝˉ,street,street
路,lu4,ㄌㄨˋ,road,road; path; journey; route
號,hao4,ㄏㄠˋ,No,number; day of a month; (mw for ordinal numbers) howl
號碼,hao4ma3,ㄏㄠˋㄇㄚˇ,Number,number; code
電話,dian4hua4,ㄉㄧㄢˋㄏㄨㄚˋ,Telephone,telephone; phone call
手機,shou3ji1,ㄕㄡˇㄐㄧˉ,cell phone,cellphone
打電話,da3 dian4hua4,ㄉㄚˇ ㄉㄧㄢˋㄏㄨㄚˋ,Call up,make a phone call
電子郵件,dian4zi3 you2jian4,ㄉㄧㄢˋㄗˇ ㄧㄡˊㄐㄧㄢˋ,e-mail,email
結婚,jie2hun1,ㄐㄧㄝˊㄏㄨㄣˉ,marry,get married
年,nian2,ㄋㄧㄢˊ,year,year
去年,qu4nian2,ㄑㄩˋㄋㄧㄢˊ,last year,last year
明年,ming2nian2,ㄇㄧㄥˊㄋㄧㄢˊ,next year,next year
今年,jin1nian2,ㄐㄧㄣˉㄋㄧㄢˊ,This year,this year
月,yue4,ㄩㄝˋ,moon,moon; month; (Kangxi radical 74: moon; Kangxi radical 130: flesh)
日,ri4,ㄖˋ,day,sun; day; date; time (Kangxi radical 72)
時候,shi2hou5,ㄕˊㄏㄡ˙,when,time; length of time; moment
小時,xiao3shi2,ㄒㄧㄠˇㄕˊ,Hour,hour
點,dian3,ㄉㄧㄢˇ,point,spot; drop; dot; point; a bit; a little; o'clock; to order (in a restaurant); to light; to ignite
點鐘,dian3zhong1,ㄉㄧㄢˇㄓㄨㄥˉ,Point,o'clock
分,fen1,ㄈㄣˉ,Minute,divide; part; minute; cent component; share; ingredient; point
分鐘,fen1zhong1,ㄈㄣˉㄓㄨㄥˉ,minute,minute; (mw for time)
早上,zao3shang5,ㄗㄠˇㄕㄤ˙,Morning,(early) morning
上午,shang4wu3,ㄕㄤˋㄨˇ,morning,morning (before noon)
中午,zhong1wu3,ㄓㄨㄥˉㄨˇ,noon,noon; midday
下午,xia4wu3,ㄒㄧㄚˋㄨˇ,afternoon,afternoon
晚上,wan3shang5,ㄨㄢˇㄕㄤ˙,night,evening; night
星期,xing1qi1,ㄒㄧㄥˉㄑㄧˉ,Week,week
星期天,xing1qi1tian1,ㄒㄧㄥˉㄑㄧˉㄊㄧㄢˉ,Sunday,Sunday
周末,zhou1mo4,ㄓㄡˉㄇㄛˋ,weekend,weekend
天,tian1,ㄊㄧㄢˉ,sky,day; sky; heaven; weather
昨天,zuo2tian1,ㄗㄨㄛˊㄊㄧㄢˉ,yesterday,yesterday
今天,jin1tian1,ㄐㄧㄣˉㄊㄧㄢˉ,today,today; at the present; now
明天,ming2tian1,ㄇㄧㄥˊㄊㄧㄢˉ,tomorrow,tomorrow
現在,xian4zai4,ㄒㄧㄢˋㄗㄞˋ,Now,now
夏天,xia4tian1,ㄒㄧㄚˋㄊㄧㄢˉ,summer,summer
冬天,dong1tian1,ㄉㄨㄥˉㄊㄧㄢˉ,winter,winter
國,guo2,ㄍㄨㄛˊ,country,country; state; nation
不同,bu4tong2,ㄅㄨˋㄊㄨㄥˊ,different,different; distinct; not the same
地址,di4zhi3,ㄉㄧˋㄓˇ,address,address
市,shi4,ㄕˋ,city,market; city
傳真,chuan2zhen1,ㄔㄨㄢˊㄓㄣˉ,fax,fax; facsimile
留言,liu2yan2,ㄌㄧㄡˊㄧㄢˊ,message,to leave a message; to comment
日期,ri4qi1,ㄖˋㄑㄧˉ,date,date (time period)
時間,shi2jian1,ㄕˊㄐㄧㄢˉ,time,time; period
鐘頭,zhong1tou2,ㄓㄨㄥˉㄊㄡˊ,hour,hour (in spoken Chinese)
晚,wan3,ㄨㄢˇ,Night,evening; night; late
夜,ye4,ㄧㄝˋ,night,night; evening; darkness
禮拜,li3bai4,ㄌㄧˇㄅㄞˋ,worship,week; religious service; worship
禮拜天,li3bai4tian1,ㄌㄧˇㄅㄞˋㄊㄧㄢˉ,Day by day,Sunday
前天,qian2tian1,ㄑㄧㄢˊㄊㄧㄢˉ,The day before yesterday,the day before yesterday
后天,hou4tian1,ㄏㄡˋㄊㄧㄢˉ,the day after tomorrow,the day after tomorrow
從前,cong2qian2,ㄘㄨㄥˊㄑㄧㄢˊ,In the past,previously; formerly; in the past; once upon a time
夏,xia4,ㄒㄧㄚˋ,summer,summer
冬,dong1,ㄉㄨㄥˉ,winter,winter
秋,qiu1,ㄑㄧㄡˉ,Autumn,autumn; fall; harvest time
春,chun1,ㄔㄨㄣˉ,spring,spring (season); joyful
一會兒,yi2hui4r5,ㄧˊㄏㄨㄟˋr˙,For a while,a while; a moment
不久,bu4jiu3,ㄅㄨˋㄐㄧㄡˇ,soon,not long (after); soon
剛剛,gang1gang1,ㄍㄤˉㄍㄤˉ,just,just recently; just a moment ago; just now
剛才,gang1cai2,ㄍㄤˉㄘㄞˊ,Just now,just now; a moment ago
當然,dang1ran2,ㄉㄤˉㄖㄢˊ,certainly,of course; naturally
自己,zi4ji3,ㄗˋㄐㄧˇ,Own,oneself; self
別人,bie2ren2,ㄅㄧㄝˊㄖㄣˊ,other people,other people; others
年紀,nian2ji4,ㄋㄧㄢˊㄐㄧˋ,age,age
男人,nan2ren2,ㄋㄢˊㄖㄣˊ,man,"man; male; menfolk; husband; ""hubby"""
女人,nv3ren2,nvˇㄖㄣˊ,woman,woman; women
大人,da4ren5,ㄉㄚˋㄖㄣ˙,grown ups,adult
老人,lao3ren2,ㄌㄠˇㄖㄣˊ,elder,old people; the aged; one's aged parents or grandparents
習慣,xi2guan4,ㄒㄧˊㄍㄨㄢˋ,Habit,habit; usual practice; it's my habit to...; make it a habit...
家庭,jia1ting2,ㄐㄧㄚˉㄊㄧㄥˊ,family,family; household
父親,fu4qin5,ㄈㄨˋㄑㄧㄣ˙,Father,father (formal)
母親,mu3qin5,ㄇㄨˇㄑㄧㄣ˙,Mother,mother (formal)
父母,fu4mu3,ㄈㄨˋㄇㄨˇ,parents,father and mother; parents
爺爺,ye2ye5,ㄧㄝˊㄧㄝ˙,grandfather,father's father; paternal grandfather
奶奶,nai3nai5,ㄋㄞˇㄋㄞ˙,grandmother,grandma; paternal grandmother
關系,guan1xi5,ㄍㄨㄢˉㄒㄧ˙,relation,relation; connection; relationship
教堂,jiao4tang2,ㄐㄧㄠˋㄊㄤˊ,church,church; chapel; cathedral
最,zui4,ㄗㄨㄟˋ,most,the most; -est; (indicator for superlative)
